,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,MAD
187,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'T.I.', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson']","['Chris McKenna', 'Erik Sommers', 'Paul Rudd', 'Andrew Barrer']",Stephen Broussard,2018,Action," PG-13
",118.0,162000000.0,216648740.0,622674139.0,Ant-Man and the Wasp,460674139.0,3904018.127118644,2.843667524691358,2,0.7736495564735163
187,Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins', 'Bobby Cannavale', 'Judy Greer', 'T.I.', 'David Dastmalchian', 'Hannah John-Kamen', 'Abby Ryder Fortson']","['Chris McKenna', 'Erik Sommers', 'Paul Rudd', 'Andrew Barrer']",Kevin Feige,2018,Action," PG-13
",118.0,162000000.0,216648740.0,622674139.0,Ant-Man and the Wasp,460674139.0,3904018.127118644,2.843667524691358,2,0.7736495564735163
188,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance', 'Philip Zhao', 'Win Morisaki', 'Hannah John-Kamen']","['Zak Penn', 'Ernest Cline']",Donald De Line,2018,Action," PG-13
",140.0,175000000.0,137690172.0,582890172.0,Ready Player One,407890172.0,2913501.2285714285,2.3308009828571428,2,0.566703040469275
188,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance', 'Philip Zhao', 'Win Morisaki', 'Hannah John-Kamen']","['Zak Penn', 'Ernest Cline']",Dan Farah,2018,Action," PG-13
",140.0,175000000.0,137690172.0,582890172.0,Ready Player One,407890172.0,2913501.2285714285,2.3308009828571428,2,0.566703040469275
188,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance', 'Philip Zhao', 'Win Morisaki', 'Hannah John-Kamen']","['Zak Penn', 'Ernest Cline']",Kristie Macosko Krieger,2018,Action," PG-13
",140.0,175000000.0,137690172.0,582890172.0,Ready Player One,407890172.0,2913501.2285714285,2.3308009828571428,2,0.566703040469275
188,Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance', 'Philip Zhao', 'Win Morisaki', 'Hannah John-Kamen']","['Zak Penn', 'Ernest Cline']",Steven Spielberg,2018,Action," PG-13
",140.0,175000000.0,137690172.0,582890172.0,Ready Player One,407890172.0,2913501.2285714285,2.3308009828571428,2,0.566703040469275
189,Dante Lam,"['Yi Zhang', 'Johnny Huang', 'Hai-Qing', 'Jiang Du', 'Luxia Jiang', 'Sanâa Alaoui', 'Fang Yin', 'Yutian Wang', 'Jiahao Guo', 'Henry Prince Mak']","['Zhuzhu Chen', 'Ji Feng', 'Eric Lin']",Candy Leung,2018,Action," TV-MA
",142.0,70000000.0,1543547.0,579330426.0,Operation Red Sea,509330426.0,3586833.9859154928,7.276148942857143,2,2.562197866648646
190,Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis', 'Winston Chao', 'Shuya Sophia Cai', 'Ruby Rose', 'Page Kennedy', 'Robert Taylor', 'Ólafur Darri Ólafsson']","['Dean Georgaris', 'Jon Hoeber', 'Erich Hoeber', 'Steve Alten']",Belle Avery,2018,Action," PG-13
",113.0,130000000.0,145443742.0,530243742.0,The Meg,400243742.0,3541980.017699115,3.0787980153846153,2,0.8685269405222238
190,Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis', 'Winston Chao', 'Shuya Sophia Cai', 'Ruby Rose', 'Page Kennedy', 'Robert Taylor', 'Ólafur Darri Ólafsson']","['Dean Georgaris', 'Jon Hoeber', 'Erich Hoeber', 'Steve Alten']",Lorenzo di Bonaventura,2018,Action," PG-13
",113.0,130000000.0,145443742.0,530243742.0,The Meg,400243742.0,3541980.017699115,3.0787980153846153,2,0.8685269405222238
190,Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis', 'Winston Chao', 'Shuya Sophia Cai', 'Ruby Rose', 'Page Kennedy', 'Robert Taylor', 'Ólafur Darri Ólafsson']","['Dean Georgaris', 'Jon Hoeber', 'Erich Hoeber', 'Steve Alten']",Colin Wilson,2018,Action," PG-13
",113.0,130000000.0,145443742.0,530243742.0,The Meg,400243742.0,3541980.017699115,3.0787980153846153,2,0.8685269405222238
191,Phil Johnston,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina', ""Ed O'Neill"", 'Sean Giambrone']","['Phil Johnston', 'Pamela Ribon', 'Rich Moore', 'Jim Reardon', 'Josie Trinidad']",Clark Spencer,2018,Animation," PG
",112.0,175000000.0,201091711.0,529323962.0,Ralph Breaks the Internet,354323962.0,3163606.8035714286,2.0247083542857145,2,0.44319176045695224
192,Genndy Tartakovsky,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Fran Drescher', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Keegan-Michael Key', 'Jim Gaffigan']","['Genndy Tartakovsky', 'Michael McCullers']",Michelle Murdocca,2018,Animation," PG
",97.0,80000000.0,167510016.0,528583774.0,Hotel Transylvania 3: Summer Vacation,448583774.0,4624574.989690722,5.607297175,2,1.8888003432882827
193,Yarrow Cheney,"['Benedict Cumberbatch', 'Cameron Seely', 'Rashida Jones', 'Pharrell Williams', ""Tristan O'Hare"", 'Kenan Thompson', 'Sam Lavagnino', 'Ramone Hamilton', 'Angela Lansbury', 'Scarlett Estevez']","['Michael LeSieur', 'Tommy Swerdlow', 'Dr. Seuss']",Janet Healy,2018,Animation," PG
",85.0,75000000.0,270620950.0,511595957.0,Dr. Seuss' The Grinch,436595957.0,5136423.023529412,5.821279426666667,2,1.9751442122230474
193,Yarrow Cheney,"['Benedict Cumberbatch', 'Cameron Seely', 'Rashida Jones', 'Pharrell Williams', ""Tristan O'Hare"", 'Kenan Thompson', 'Sam Lavagnino', 'Ramone Hamilton', 'Angela Lansbury', 'Scarlett Estevez']","['Michael LeSieur', 'Tommy Swerdlow', 'Dr. Seuss']",Christopher Meledandri,2018,Animation," PG
",85.0,75000000.0,270620950.0,511595957.0,Dr. Seuss' The Grinch,436595957.0,5136423.023529412,5.821279426666667,2,1.9751442122230474
194,Travis Knight,"['Hailee Steinfeld', 'Jorge Lendeborg Jr.', 'John Cena', 'Jason Drucker', 'Pamela Adlon', 'Stephen Schneider', 'Ricardo Hoyos', 'John Ortiz', 'Glynn Turman', 'Len Cariou']",['Christina Hodson'],Michael Bay,2018,Action," PG-13
",114.0,135000000.0,127195589.0,467989645.0,Bumblebee,332989645.0,2920961.798245614,2.466589962962963,2,0.6214951823862894
