,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
553,3430,['Richard Loncraine'],"['Diane Keaton', 'Morgan Freeman', 'Cynthia Nixon', 'Carrie Preston', 'Claire van der Boom', 'Korey Jackson', 'Michael Cristofer', 'Diane Ciesla', 'Josh Pais', 'Maddie Corman']","['Charlie Peters', 'Jill Ciment']","['Curtis Burch', 'Lori McCreary', 'Tracy Mercer', 'Charlie Peters']",2015,Comedy  Drama," PG-13
",88.0,6000000.0,1020921.0,3679847.0,5 Flights Up,-2320153.0,-26365.375,-0.38669216666666667,2,Comedy,-0.5604195023716637
554,3438,['Scott Mann'],"['Robert De Niro', 'Jeffrey Dean Morgan', 'Dave Bautista', 'Kate Bosworth', 'Gina Carano', 'Morris Chestnut', 'Lydia Hull', 'Mark-Paul Gosselaar', 'Stephen Cyrus Sepher', 'D.B. Sweeney']","['Stephen Cyrus Sepher', 'Max Adams']","['Randall Emmett', 'George Furla', 'Wayne Marc Godfrey', 'Robert Jones']",2015,Action  Crime," R
",93.0,8900000.0,50136.0,3777046.0,Heist,-5122954.0,-55085.52688172043,-0.5756128089887641,2,Action,-0.6442869625716163
557,3452,['Jerry Jameson'],"['Elle Graham', 'Kate Mara', 'Claudia Church', 'Gina Stewart', 'David Oyelowo', 'Diva Tyler', 'E. Roger Mitchell', 'Richard Fullerton', 'Michael Kenneth Williams', 'Jessica Oyelowo']","['Brian Bird', 'Ashley Smith', 'Stacy Mattingly']","['Lucas Akoskin', 'Terry Botwick', 'Alex Garcia', 'Jerry Jameson']",2015,Action  Crime," PG-13
",97.0,2000000.0,2583301.0,2801508.0,Captive,801508.0,8262.969072164948,0.400754,2,Action,-0.210848861330088
558,3461,['Angelo Pizzo'],"['Aaron Eckhart', 'Finn Wittrock', 'Rett Terrell', 'Michael Reilly Burke', 'Robin Tunney', 'Sarah Bolger', 'Juston Street', 'Donny Boaz', 'Jordan Shipley', 'Alex MacNicoll']","['Angelo Pizzo', 'Jim Dent']",['Paul Schiff'],2015,Biography  Drama," PG
",118.0,20000000.0,2246000.0,2246000.0,My All-American,-17754000.0,-150457.62711864407,-0.8877,2,Biography,-0.7828316962192231
559,3471,['Maya Forbes'],"['Mark Ruffalo', 'Zoe Saldana', 'Imogene Wolodarsky', 'Ashley Aufderheide', 'Nekhebet Kum Juch', 'Manoah Angelo', 'Muriel Gould', 'Tod Randolph', 'Beth Dixon', 'Keir Dullea']",['Maya Forbes'],"['Sam Bisbee', 'Bingo Gubelmann', 'Benji Kohn', 'Galt Niederhoffer', 'Wallace Wolodarsky']",2015,Comedy  Drama," R
",90.0,6700000.0,1430655.0,1824678.0,Infinitely Polar Bear,-4875322.0,-54170.24444444443,-0.7276600000000001,2,Comedy,-0.711785207252091
560,3472,['Marielle Heller'],"['Bel Powley', 'Willie', 'Kristen Wiig', 'Abby Wait', 'Alexander Skarsgård', 'Miranda Bailey', 'Carson Mell', 'John Parsons', 'Madeleine Waters', 'Austin Lyon']","['Phoebe Gloeckner', 'Marielle Heller']","['Miranda Bailey', 'Anne Carey', 'Bert Hamelinck', 'Madeline Samit']",2015,Comedy  Drama," R
",102.0,2000000.0,1477002.0,1775133.0,The Diary of a Teenage Girl,-224867.0,-2204.578431372549,-0.1124335,2,Comedy,-0.438667969408194
561,3482,['Peter Sollett'],"['Julianne Moore', 'Ellen Page', 'Michael Shannon', 'Steve Carell', 'Luke Grimes', 'Gabriel Luna', 'Anthony DeSando', 'Skipp Sudduth', 'Josh Charles', ""Kevin O'Rourke""]",['Ron Nyswaner'],"['Kelly Bush Novak', 'Julie Goldstein', 'Phil Hunt', 'Duncan Montgomery']",2015,Biography  Drama," PG-13
",103.0,7000000.0,573335.0,1474471.0,Freeheld,-5525529.0,-53645.91262135922,-0.7893612857142858,2,Biography,-0.7391762327129625
562,3492,['John Maclean'],"['Kodi Smit-McPhee', 'Caren Pistorius', 'Aorere Paki', 'Jeffrey Thomas', 'Hayden Frost', 'Kieran Charnock', 'Michael Fassbender', 'Joseph Passi', 'Sam Manzanza', 'Tawanda Manyimo']",['John Maclean'],"['Iain Canning', 'Rachel Gardner', 'Conor McCaughan', 'Emile Sherman']",2015,Action  Adventure," R
",84.0,2000000.0,229094.0,1295574.0,Slow West,-704426.0,-8386.02380952381,-0.352213,2,Action,-0.545113180613483
563,3495,['Anton Corbijn'],"['Robert Pattinson', 'Peter Lucas', 'Lauren Gallagher', 'Kendal Rae', 'Drew Leger', 'Dane DeHaan', 'Alessandra Mastronardi', 'John Blackwood', 'Jason Blicker', 'Emily Hurson']",['Luke Davies'],"['Iain Canning', 'Benito Mueller', 'Wolfgang Mueller', 'Christina Piovesan', 'Emile Sherman']",2015,Biography  Drama," R
",111.0,12000000.0,,1231606.0,Life,-10768394.0,-97012.55855855855,-0.8973661666666667,2,Biography,-0.7871227934663976
564,3514,['Kyle Newman'],"['Jaime King', 'Samuel L. Jackson', 'Madeleine Stack', 'Eva G. Cooper', 'Hailee Steinfeld', 'Sophie Turner', 'Andre Pushkin', 'Jessica Alba', 'Bruno Gunn', 'Dove Cameron']","[""John D'Arco""]","['John Cheng', 'Sukee Chew', 'Vanessa Coifman', 'Ted Hartley', 'Brett Ratner']",2015,Action  Adventure," PG-13
",96.0,15000000.0,6075.0,933847.0,Barely Lethal,-14066153.0,-146522.42708333337,-0.9377435333333334,2,Action,-0.8050475006358876
565,3520,['Robert Zemeckis'],"['Tom Hanks', 'Leslie Zemeckis', 'Eddie Deezen', 'Nona Gaye', 'Peter Scolari', 'Brendan King', 'Andy Pellick', 'Josh Eli', 'Mark Mendonca', 'Rolondas Hendricks']","['Chris Van Allsburg', 'Robert Zemeckis', 'William Broyles Jr.']","['Gary Goetzman', 'Steve Starkey', 'William Teitler', 'Robert Zemeckis']",2015,Animation  Adventure," G
",100.0,165000000.0,187224490.0,313500433.0,The Polar Express 2015 IMAX Release,148500433.0,1485004.33,0.9000026242424243,2,Animation,0.01078236757578091
566,3527,"['Andrew Mogel', 'Jarrad Paul']","['Jack Black', 'James Marsden', 'Kathryn Hahn', 'Jeffrey Tambor', 'Russell Posner', 'Henry Zebrowski', 'Kyle Bornheimer', 'Mike White', 'Corrina Lyons', 'Donna Duplantier']","['Jarrad Paul', 'Andrew Mogel']","['David Bernad', 'Jack Black', 'Peter Fruchtman', 'Scott LaStaiti']",2015,Comedy  Drama," R
",101.0,3000000.0,673151.0,774780.0,The D Train,-2225220.0,-22031.88118811881,-0.74174,2,Comedy,-0.7180357356490994
567,3532,['Maclain Nelson'],"['Paris Warner', 'Lisa Clark', 'Hailey Smith', 'Clare Niederpruem', 'Barta Heiner', 'Amy Biedel', 'Adam Johnson', 'Brett Merritt', 'Allie Jennings', 'Kaley McCormack']",['Maclain Nelson'],"['Maclain Nelson', 'Clare Niederpruem', 'Jake Van Wagoner']",2015,Comedy  Drama," PG
",119.0,200000.0,732655.0,732655.0,Once I Was a Beehive,532655.0,4476.09243697479,2.663275,2,Comedy,0.7935511215767143
568,3534,['Natalie Portman'],"['Natalie Portman', 'Gilad Kahana', 'Amir Tessler', 'Moni Moshonov', 'Ohad Knoller', 'Makram Khoury', 'Neta Riskin', 'Alexander Peleg', 'Rotem Keinan', 'Tomer Capon']","['Natalie Portman', 'Amos Oz']","['Ram Bergman', 'David Mandil']",2015,Biography  Drama," PG-13
",95.0,4000000.0,572212.0,724885.0,A Tale of Love and Darkness,-3275115.0,-34474.894736842114,-0.81877875,2,Biography,-0.752235515091218
569,3543,['Ekachai Uekrongtham'],"['Dolph Lundgren', 'Tony Jaa', 'Michael Jai White', 'Ron Perlman', 'Celina Jade', 'Peter Weller', 'Matthew James Ryder', 'Sahajak Boonthanakit', 'Mike Dopud', 'Leo Rano']","['Dolph Lundgren', 'Steven Elder', 'Gabriel Dowrick']","['Craig Baumgarten', 'Dolph Lundgren', 'Michael Selby']",2015,Action  Crime," R
",96.0,9000000.0,1242.0,595268.0,Skin Trade,-8404732.0,-87549.29166666669,-0.9338591111111112,2,Action,-0.8033230907348954
570,3558,"['Christian Desmares', 'Franck Ekinci']","['Marion Cotillard', 'Marc-André Grondin', 'Philippe Katerine', 'Jean Rochefort', 'Bouli Lanners', 'Olivier Gourmet', 'Macha Grenon', 'Benoît Brière', 'Anne Coesens', 'Carlos Alazraqui']","['Franck Ekinci', 'Benjamin Legrand', 'Jacques Tardi', 'Mark Camacho', 'Pauline Little']","['Eric Beckman', 'Michel Dutheil', 'Franck Ekinci', 'Sophia Harvey']",2015,Animation  Adventure," PG
",105.0,12400000.0,295488.0,495879.0,April and the Extraordinary World,-11904121.0,-113372.58095238096,-0.9600097580645162,2,Animation,-0.8149321362876225
571,3570,"['Anna Boden', 'Ryan Fleck']","['Ben Mendelsohn', 'Yvonne Landry', 'Anthony Howard', 'Ryan Reynolds', 'Jayson Warner Smith', 'Kerry Cahill', 'Jane McNeill', 'Jason Shaffette', 'P.J. Marshall', 'Stephanie Honoré']","['Anna Boden', 'Ryan Fleck']","['Lynette Howell Taylor', 'Ben Nearn', 'Jamie Patricof', 'Tom Rice']",2015,Comedy  Drama," R
",108.0,6000000.0,130541.0,422746.0,Mississippi Grind,-5577254.0,-51641.240740740745,-0.9295423333333334,2,Comedy,-0.8014067454164596
572,3598,['Richard LaGravenese'],"['Anna Kendrick', 'Jeremy Jordan', 'Tamara Mintz', 'Cassandra Inman', 'Kate Meltzer', 'Emma Meltzer', 'Bettina Bresnan', 'Charly Bivona', 'Alex Stebbins', 'Lily LaGravenese']","['Jason Robert Brown', 'Richard LaGravenese']","['Janet Brenner', 'Kurt Deutsch', 'Richard LaGravenese', 'Lauren Versel']",2015,Comedy  Drama," PG-13
",94.0,3500000.0,145427.0,292092.0,The Last Five Years,-3207908.0,-34126.68085106384,-0.9165451428571428,2,Comedy,-0.7956369081897015
573,3705,['Mikael Håfström'],"['John Cusack', 'Li Gong', 'Yun-Fat Chow', 'David Morse', 'Ken Watanabe', 'Franka Potente', 'Jeffrey Dean Morgan', 'Hugh Bonneville', 'Yuan On', 'Hon Ping Tang']",['Hossein Amini'],"['Donna Gigliotti', 'Mike Medavoy', 'Barry Mendel', 'Jake Myers']",2015,Crime  Drama," R
",105.0,50000000.0,46425.0,15302850.0,Shanghai 2015 Re-release,-34697150.0,-330449.04761904763,-0.693943,2,Crime,-0.6968172338172948
574,3724,['Jean-Luc Godard'],"['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani', 'Aicha Abadir', 'Henri Attal', 'Pascal Aubier', 'Maurice Auzel', 'Raymond Devos', 'Roger Dutoit', 'Samuel Fuller']",['Jean-Luc Godard'],[],2015,Crime  Drama," Not Rated
",110.0,300000.0,87011.0,134722.0,Pierrot le Fou 2015 Re-release,-165278.0,-1502.5272727272727,-0.5509266666666667,2,Crime,-0.6333280539354755
575,3744,['Hitoshi Matsumoto'],"['Nao Ohmori', 'Mao Daichi', 'Shinobu Terajima', 'Hairi Katagiri', 'Ai Tominaga', 'Eriko Satô', 'Naomi Watanabe', 'Gin Maeda', 'You', 'Haruki Nishimoto']","['Hitoshi Matsumoto', 'Mitsuyoshi Takasu', 'Tomoji Hasegawa', 'Kôji Ema', 'Mitsuru Kuramoto']","['Keisuke Konishi', 'Natsue Takemoto']",2015,Comedy  Drama," Unrated
",99.0,5500000.0,24956.0,24956.0,R100,-5475044.0,-55303.47474747475,-0.9954625454545456,2,Comedy,-0.8306706770784236
577,3778,['Christian Keller'],"['Sofía Espinosa', 'Marco Pérez', 'Tatiana del Real', 'Karla Coronado', 'Estrella Solís', 'Ximena Romo', 'Alejandra Zaid', 'Alicia Jaziz', 'Ma. Fernanda Monroy', 'Andrea Bentley']",['Sabina Berman'],"['Alan B. Curtiss', 'Matthias Ehrenberg', 'Christian Keller', 'Barrie M. Osborne']",2015,Biography  Drama," R
",126.0,4000000.0,14701.0,14701.0,Gloria,-3985299.0,-31629.357142857138,-0.99632475,2,Biography,-0.8310534351746873
578,3830,['Jeta Amata'],"['Mbong Amata', 'Enyinna Nwigwe', 'Hakeem Kae-Kazim', 'Anne Heche', 'Mickey Rourke', 'Kim Basinger', 'Sarah Wayne Callies', 'Vivica A. Fox', 'Wyclef Jean', 'Akon']",['Jeta Amata'],"['Bernard Alexander', 'Jeta Amata', 'Ori Ayonmike', 'Marc Byers']",2015,Action  Crime," TV-14
",95.0,7500000.0,5782.0,5782.0,Black November,-7494218.0,-78886.5052631579,-0.9992290666666668,2,Action,-0.8323427472342686
579,3834,['Jack Bryan'],"['Fran Kranz', 'Jocelin Donahue', 'Kenny Wormald', 'Chris Mulkey', 'Joelle Carter', 'Erin Cummings', 'NiCole Robinson', 'Andy Sandberg', 'Brian McMinimee', 'Jesse Ruser']",['Jack Bryan'],"['Jack Bryan', 'Laura DuBois', 'John Snyder']",2015,Crime  Drama," R
",89.0,500000.0,5514.0,5514.0,The Living,-494486.0,-5556.022471910113,-0.988972,2,Crime,-0.8277893320020236
580,3851,['Raj Amit Kumar'],"['Victor Banerjee', 'Adil Hussain', 'Bhanu Uday', 'Preeti Gupta', 'Bhavani Lee', 'Ankur Vikal', 'Seema Rahmani', 'Samrat Chakrabarti', 'Danae Nason', 'Andrew Platner']","['Damon J. Taylor', 'Raj Amit Kumar', 'Adam Davis', 'Kamran Iqbal']","['Deepa Bajaj', 'Raj Amit Kumar']",2015,Crime  Drama," Not Rated
",102.0,1500000.0,3778.0,3778.0,Unfreedom,-1496222.0,-14668.843137254902,-0.9974813333333332,2,Crime,-0.8315668767207459
581,3854,['Robert Fontaine'],"['Robert Fontaine', 'Michael Brainard', 'Grant Boyd', 'Michael Derek', 'Angel Valle Jr.', 'Brad Lee Wind', 'Mariana Fernández', 'Lily Autumn Page', 'Stephen Booth', 'Joe James']",['Robert Fontaine'],"['Robert Fontaine', 'J. Xavier Velasco']",2015,Crime  Drama," R
",90.0,2100000.0,3330.0,3330.0,Mi America,-2096670.0,-23296.33333333333,-0.9984142857142856,2,Crime,-0.831981041873459
582,3886,['Michael Bay'],"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz', 'Jack Reynor', 'Titus Welliver', 'Sophia Myles', 'Bingbing Li', 'T.J. Miller', 'James Bachman']",['Ehren Kruger'],"['Ian Bryce', 'Tom DeSanto', 'Lorenzo di Bonaventura', 'Don Murphy']",2014,Action  Adventure," PG-13
",165.0,210000000.0,245439076.0,1104054072.0,Transformers: Age of Extinction,894054072.0,5418509.527272727,4.257400342857143,2,Action,1.5012305053777992
583,3888,['James Gunn'],"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Lee Pace', 'Michael Rooker', 'Karen Gillan', 'Djimon Hounsou', 'John C. Reilly']","['James Gunn', 'Nicole Perlman', 'Dan Abnett', 'Andy Lanning']",['Kevin Feige'],2014,Action  Adventure," PG-13
",121.0,170000000.0,333176600.0,772776600.0,Guardians of the Galaxy,602776600.0,4981624.79338843,3.545744705882353,2,Action,1.1853055218691342
584,3889,['Robert Stromberg'],"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Lesley Manville', 'Imelda Staunton', 'Juno Temple', 'Sam Riley', 'Brenton Thwaites', 'Kenneth Cranham', 'Sarah Flind']","['Linda Woolverton', 'Charles Perrault']",['Joe Roth'],2014,Action  Adventure," PG
",97.0,180000000.0,241410378.0,758410378.0,Maleficent,578410378.0,5962993.587628867,3.213390988888889,2,Action,1.0377638779828464
585,3890,['Francis Lawrence'],"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland', 'Philip Seymour Hoffman', 'Julianne Moore', 'Willow Shields', 'Sam Claflin', 'Elizabeth Banks']","['Peter Craig', 'Danny Strong', 'Suzanne Collins']","['Nina Jacobson', 'Jon Kilik']",2014,Action  Adventure," PG-13
",123.0,125000000.0,337135885.0,755356711.0,The Hunger Games: Mockingjay - Part 1,630356711.0,5124851.308943089,5.042853688,2,Action,1.8499164740099472
586,3891,['Bryan Singer'],"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry', 'Nicholas Hoult', 'Anna Paquin', 'Ellen Page', 'Peter Dinklage', 'Shawn Ashmore']","['Simon Kinberg', 'Jane Goldman', 'Matthew Vaughn']","['Simon Kinberg', 'Hutch Parker', 'Lauren Shuler Donner', 'Bryan Singer']",2014,Action  Adventure," PG-13
",132.0,200000000.0,233921534.0,746045700.0,X-Men: Days of Future Past,546045700.0,4136709.8484848486,2.7302285,2,Action,0.8232737602861673
587,3892,"['Anthony Russo', 'Joe Russo']","['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Maximiliano Hernández', 'Emily VanCamp']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby']",['Kevin Feige'],2014,Action  Adventure," PG-13
",136.0,170000000.0,259766572.0,714421503.0,Captain America: The Winter Soldier,544421503.0,4003099.286764706,3.2024794294117647,2,Action,1.0329199140362975
588,3893,['Matt Reeves'],"['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell', 'Kodi Smit-McPhee', 'Kirk Acevedo', 'Nick Thurston', 'Terry Notary', 'Karin Konoval']","['Mark Bomback', 'Rick Jaffa', 'Amanda Silver']","['Peter Chernin', 'Dylan Clark', 'Rick Jaffa', 'Amanda Silver']",2014,Action  Adventure," PG-13
",130.0,170000000.0,208545589.0,710644566.0,Dawn of the Planet of the Apes,540644566.0,4158804.3538461537,3.1802621529411765,2,Action,1.0230570079650192
589,3894,['Marc Webb'],"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Colm Feore', 'Felicity Jones', 'Paul Giamatti', 'Sally Field', 'Embeth Davidtz', 'Campbell Scott']","['Alex Kurtzman', 'Roberto Orci', 'Jeff Pinkner', 'James Vanderbilt']","['Avi Arad', 'Matt Tolmach']",2014,Action  Adventure," PG-13
",142.0,200000000.0,202853933.0,708982323.0,The Amazing Spider-Man 2,508982323.0,3584382.556338028,2.544911615,2,Action,0.7410061145377559
590,3899,['Gareth Edwards'],"['Aaron Taylor-Johnson', 'CJ Adams', 'Ken Watanabe', 'Bryan Cranston', 'Elizabeth Olsen', 'Carson Bolde', 'Sally Hawkins', 'Juliette Binoche', 'David Strathairn', 'Richard T. Jones']","['Max Borenstein', 'Dave Callaham', 'Ishirô Honda', 'Takeo Murata', 'Shigeru Kayama']","['Jon Jashni', 'Mary Parent', 'Brian Rogers', 'Thomas Tull']",2014,Action  Adventure," PG-13
",123.0,160000000.0,200676069.0,524976069.0,Godzilla,364976069.0,2967285.113821138,2.28110043125,2,Action,0.6238925282112098
591,3900,['Carlos Saldanha'],"['Jake T. Austin', 'Carlinhos Brown', 'Kristin Chenoweth', 'Jemaine Clement', 'Jim Conroy', 'Rachel Crow', 'Bernardo De Paula', 'Nola Donkin', 'Jesse Eisenberg', 'Miguel Ferrer']","['Don Rhymer', 'Carlos Kotkin', 'Jenny Bicks', 'Yoni Brenner']","['Bruce Anderson', 'John C. Donkin']",2014,Animation  Adventure," G
",101.0,103000000.0,131538435.0,498781117.0,Rio 2,395781117.0,3918624.9207920786,3.8425351165048554,2,Animation,1.317059562320535
592,3901,['Jonathan Liebesman'],"['Megan Fox', 'Will Arnett', 'William Fichtner', 'Alan Ritchson', 'Noel Fisher', 'Pete Ploszek', 'Johnny Knoxville', 'Jeremy Howard', 'Danny Woodburn', 'Tony Shalhoub']","['Josh Appelbaum', 'André Nemec', 'Evan Daugherty', 'Peter Laird', 'Kevin Eastman']","['Michael Bay', 'Ian Bryce', 'Andrew Form', 'Brad Fuller']",2014,Action  Adventure," PG-13
",101.0,125000000.0,191204754.0,485004754.0,Teenage Mutant Ninja Turtles,360004754.0,3564403.504950495,2.880038032,2,Action,0.8897786419558074
593,3904,"['Eric Darnell', 'Simon J. Smith']","['Tom McGrath', 'Chris Miller', 'Christopher Knights', 'Conrad Vernon', 'John Malkovich', 'Benedict Cumberbatch', 'Ken Jeong', 'Annet Mahendru', 'Peter Stormare', 'Andy Richter']","['Michael Colton', 'John Aboud', 'Brandon Sawyer', 'Alan Schoolcraft', 'Brent Simons']","['Lara Breay', 'Mark Swift']",2014,Animation  Adventure," PG
",92.0,132000000.0,83850911.0,373515621.0,Penguins of Madagascar,241515621.0,2625169.7934782607,1.8296637954545452,2,Animation,0.42348645495201825
594,3908,['Darren Aronofsky'],"['Russell Crowe', 'Jennifer Connelly', 'Ray Winstone', 'Anthony Hopkins', 'Emma Watson', 'Logan Lerman', 'Douglas Booth', 'Nick Nolte', 'Mark Margolis', 'Kevin Durand']","['Darren Aronofsky', 'Ari Handel']","['Darren Aronofsky', 'Scott Franklin', 'Arnon Milchan', 'Mary Parent']",2014,Action  Adventure," PG-13
",138.0,125000000.0,101200044.0,359200044.0,Noah,234200044.0,1697101.768115942,1.873600352,2,Action,0.44299119176694224
596,3913,['Neil Burger'],"['Shailene Woodley', 'Theo James', 'Ashley Judd', 'Jai Courtney', 'Ray Stevenson', 'Zoë Kravitz', 'Miles Teller', 'Tony Goldwyn', 'Ansel Elgort', 'Maggie Q']","['Evan Daugherty', 'Vanessa Taylor', 'Veronica Roth']","['Lucy Fisher', 'Pouya Shahbazian', 'Douglas Wick']",2014,Action  Adventure," PG-13
",139.0,85000000.0,150947895.0,288885818.0,Divergent,203885818.0,1466804.4460431654,2.398656682352941,2,Action,0.6760792246433674
597,3915,['Rob Minkoff'],"['Ty Burrell', 'Max Charles', 'Lauri Fraser', 'Guillaume Aretos', 'Pat Musick', 'Ariel Winter', 'Karan Brar', 'Joshua Rush', 'Stephen Tobolowsky', 'Allison Janney']","['Jay Ward', 'Craig Wright', 'Robert Ben Garant', 'Thomas Lennon']","['Denise Nolan Cascino', 'Alex Schwartz']",2014,Animation  Adventure," PG
",92.0,145000000.0,111506430.0,275698039.0,Mr. Peabody & Sherman,130698039.0,1420630.8586956519,0.9013657862068966,2,Animation,0.011387515485486572
599,3919,['Brett Ratner'],"['Dwayne Johnson', 'Ian McShane', 'John Hurt', 'Rufus Sewell', 'Aksel Hennie', 'Ingrid Bolsø Berdal', 'Reece Ritchie', 'Joseph Fiennes', 'Tobias Santelmann', 'Peter Mullan']","['Ryan J. Condal', 'Evan Spiliotopoulos', 'Steve Moore']","['Beau Flynn', 'Barry Levine', 'Brett Ratner']",2014,Action  Adventure," PG-13
",98.0,100000000.0,72688614.0,244819862.0,Hercules,144819862.0,1477753.693877551,1.44819862,2,Action,0.25414278224971615
602,3924,['Patrick Hughes'],"['Sylvester Stallone', 'Jason Statham', 'Harrison Ford', 'Arnold Schwarzenegger', 'Mel Gibson', 'Wesley Snipes', 'Dolph Lundgren', 'Randy Couture', 'Terry Crews', 'Kelsey Grammer']","['Sylvester Stallone', 'Creighton Rothenberger', 'Katrin Benedikt', 'Dave Callaham']","['Avi Lerner', 'Danny Lerner', 'Kevin King Templeton', 'John Thompson', 'Les Weldon']",2014,Action  Adventure," PG-13
",126.0,90000000.0,39322544.0,214657577.0,The Expendables 3,124657577.0,989345.8492063492,1.3850841888888892,2,Action,0.22612441975532496
604,3927,['Scott Waugh'],"['Aaron Paul', 'Dominic Cooper', 'Imogen Poots', 'Kid Cudi', 'Rami Malek', 'Ramon Rodriguez', 'Harrison Gilbertson', 'Dakota Johnson', 'Stevie Ray Dallimore', 'Michael Keaton']","['George Gatins', 'John Gatins']","['John Gatins', ""Patrick O'Brien"", 'Mark Sourian']",2014,Action  Crime," PG-13
",132.0,66000000.0,43577636.0,203277636.0,Need for Speed,137277636.0,1039982.0909090908,2.0799641818181818,2,Action,0.5346021987551488
605,3929,['Antoine Fuqua'],"['Denzel Washington', 'Marton Csokas', 'Chloë Grace Moretz', 'David Harbour', 'Haley Bennett', 'Bill Pullman', 'Melissa Leo', 'David Meunier', 'Johnny Skourtis', 'Alex Veadov']","['Richard Wenk', 'Michael Sloan', 'Richard Lindheim']","['Todd Black', 'Jason Blumenthal', 'Tony Eldridge', 'Mace Neufeld']",2014,Action  Crime," R
",132.0,55000000.0,101530738.0,192330738.0,The Equalizer,137330738.0,1040384.3787878788,2.496922509090909,2,Action,0.7197023312116325
606,3933,['Steven Quale'],"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh', 'Max Deacon', 'Nathan Kress', 'Alycia Debnam-Carey', 'Arlen Escarpeta', 'Jeremy Sumpter', 'Lee Whittaker', 'Kyle Davis']",['John Swetnam'],['Todd Garner'],2014,Action  Adventure," PG-13
",89.0,50000000.0,47602194.0,161502194.0,Into the Storm,111502194.0,1252833.640449438,2.23004388,2,Action,0.6012270151826986
607,3934,['Angelina Jolie'],"[""Jack O'Connell"", 'Domhnall Gleeson', 'Garrett Hedlund', 'Miyavi', 'Finn Wittrock', 'Jai Courtney', 'Maddalena Ischiale', 'Vincenzo Amato', 'John Magaro', 'Luke Treadaway']","['Joel Coen', 'Ethan Coen', 'Richard LaGravenese', 'William Nicholson', 'Laura Hillenbrand']","['Matthew Baer', 'Angelina Jolie', 'Erwin Stoff', 'Clayton Townsend', 'Nathan Wiley']",2014,Biography  Drama," PG-13
",137.0,65000000.0,115637895.0,161459297.0,Unbroken,96459297.0,704082.4598540146,1.4839891846153843,2,Biography,0.270031272340158
608,3935,['George Clooney'],"['George Clooney', 'Matt Damon', 'Bill Murray', 'Cate Blanchett', 'John Goodman', 'Jean Dujardin', 'Hugh Bonneville', 'Bob Balaban', 'Dimitri Leonidas', 'Justus von Dohnányi']","['George Clooney', 'Grant Heslov', 'Robert M. Edsel', 'Bret Witter']","['George Clooney', 'Grant Heslov']",2014,Comedy  Drama," PG-13
",118.0,70000000.0,78031620.0,156706638.0,The Monuments Men,86706638.0,734802.0169491527,1.2386662571428568,2,Comedy,0.1611251697404238
609,3937,['Roberts Gannaway'],"['Dane Cook', 'Ed Harris', 'Julie Bowen', 'Curtis Armstrong', 'John Michael Higgins', 'Hal Holbrook', 'Wes Studi', 'Brad Garrett', 'Teri Hatcher', 'Stacy Keach']","['Roberts Gannaway', 'Jeffrey M. Howard']",['Ferrell Barron'],2014,Animation  Adventure," PG
",83.0,50000000.0,59165787.0,146965787.0,Planes: Fire & Rescue,96965787.0,1168262.4939759036,1.93931574,2,Animation,0.47216419594410297
611,3941,['Will Gluck'],"['Jamie Foxx', 'Quvenzhané Wallis', 'Rose Byrne', 'Bobby Cannavale', 'Adewale Akinnuoye-Agbaje', 'David Zayas', 'Cameron Diaz', 'Zoe Margaret Colletti', 'Nicolette Pierini', 'Eden Duncan-Smith']","['Will Gluck', 'Aline Brosh McKenna', 'Thomas Meehan', 'Harold Gray']","['Jay Brown', 'Will Gluck', 'Jay-Z', 'James Lassiter']",2014,Comedy  Drama," PG
",118.0,65000000.0,85911262.0,136853506.0,Annie,71853506.0,608928.0169491526,1.1054385538461535,2,Comedy,0.1019814522173947
613,3945,['James Marsh'],"['Eddie Redmayne', 'Felicity Jones', 'Tom Prior', 'Sophie Perry', 'Finlay Wright-Stephens', 'Harry Lloyd', 'Alice Orr-Ewing', 'David Thewlis', 'Thomas Morrison', 'Michael Marcus']","['Anthony McCarten', 'Jane Hawking']","['Tim Bevan', 'Lisa Bruce', 'Eric Fellner', 'Anthony McCarten']",2014,Biography  Drama," PG-13
",123.0,15000000.0,35893537.0,123726688.0,The Theory of Everything,108726688.0,883956.8130081302,7.248445866666668,2,Biography,2.8290440695337797
