,Unnamed: 0,directors,actors,writers,producers,year,genres,certificates,duration,Budget,Gross US,Gross Worldwide,titles,Profits,profit-per-length,profit-per-budget,len-genres,macrogenres,MAD
61,4491,['Nabil Ayouch'],"['Abdelhakim Rachi', 'Abdelilah Rachid', 'Hamza Souidek', 'Ahmed El Idrissi Amrani', 'Badr Chakir', 'Achraf Afir', 'Said El-Alami', 'Zouhair Sabri', 'Bouchaib Saakine', 'Othman Younouss']","['Jamal Belmahi', 'Mahi Binebine']","['Nabil Ayouch', 'Pierre-Ange Le Pogam', 'Patrick Quinet', 'Eric van Beuren']",2014,Drama," Not Rated
",115.0,3000000.0,14817.0,96277.0,Horses of God 2014 Re-release,-2903723.0,-25249.765217391305,-0.9679076666666668,1,Drama,-0.8184382514861112
62,4502,['Ravi Kumar'],"['Martin Sheen', 'Mischa Barton', 'Kal Penn', 'Lisa Dwan', 'Tannishtha Chatterjee', 'Satish Kaushik', 'Rajpal Yadav', 'Manoj Joshi', 'Martin Brambach', 'Fagun Thakrar']","['Ravi Kumar', 'David Brooks']","['Smanto R. Roy', 'Ravi Walia']",2014,Drama," Not Rated
",96.0,6000000.0,12628.0,12628.0,Bhopal: A Prayer for Rain,-5987372.0,-62368.45833333334,-0.9978953333333334,1,Drama,-0.8317506635642375
63,4514,['Joshua Overbay'],"['Todd Bagley', 'Shannon Kathleen Baker', 'Luke Beavers', 'Kassandra Botts', 'Sylvia Boykin', 'Meredith Cave', 'Janelle M. Gore', 'Carola Lina', 'John Lina', 'Timothy Morton']","['Ginny Lee Overbay', 'Joshua Overbay']","['Nathaniel Glass', 'Michael Grout', 'Joshua Overbay']",2014,Drama," Not Rated
",86.0,16000.0,10850.0,10850.0,As It Is in Heaven,-5150.0,-59.88372093023256,-0.321875,1,Drama,-0.5316452452080541
64,4561,['Mona Fastvold'],"['Gitte Witt', 'Christopher Abbott', 'Stephanie Ellis', 'Brady Corbet']","['Brady Corbet', 'Mona Fastvold']","['Julie Christeas', 'Karin Julsrud', 'Schuyler Weiss', 'Turid Øversveen']",2014,Drama," Not Rated
",91.0,1100000.0,5012.0,5012.0,The Sleepwalker,-1094988.0,-12032.835164835164,-0.9954436363636364,1,Drama,-0.8306622827737582
65,1,['Jeff Fowler'],"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Lee Majdoub', 'Neal McDonough', 'Tom Butler', 'Frank C. Turner']","['Patrick Casey', 'Josh Miller']","['Toby Ascher', 'Takeshi Ito', 'Neal H. Moritz', 'Toru Nakahara']",2020,Action  Adventure," PG
",99.0,85000000.0,146066470.0,306766470.0,Sonic the Hedgehog,221766470.0,2240065.3535353537,2.6090172941176477,2,Action,0.7694645213370713
66,3,['Cathy Yan'],"['Margot Robbie', 'Rosie Perez', 'Mary Elizabeth Winstead', 'Jurnee Smollett-Bell', 'Ewan McGregor', 'Ella Jay Basco', 'Chris Messina', 'Ali Wong', 'David Ury', 'Sara Montez']","['Christina Hodson', 'Paul Dini', 'Bruce Timm']","['Sue Kroll', 'Margot Robbie', 'Bryan Unkeless']",2020,Action  Adventure," R
",109.0,84500000.0,84158461.0,199158461.0,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,114658461.0,1051912.486238532,1.3569048639053254,2,Action,0.21361478402959394
70,32,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch', 'Chadwick Boseman']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Jack Kirby']",['Kevin Feige'],2019,Action  Adventure," PG-13
",181.0,356000000.0,858373000.0,2797800564.0,Avengers: Endgame,2441800564.0,13490610.85082873,6.858990348314607,2,Action,2.656153247315657
71,33,['Jon Favreau'],"['Chiwetel Ejiofor', 'John Oliver', 'James Earl Jones', 'John Kani', 'Alfre Woodard', 'JD McCrary', 'Shahadi Wright Joseph', 'Penny Johnson Jerald', 'Keegan-Michael Key', 'Eric André']","['Jeff Nathanson', 'Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']","['Jon Favreau', 'Karen Gilchrist', 'Jeffrey Silver']",2019,Animation  Adventure," PG
",118.0,260000000.0,543638043.0,1656943394.0,The Lion King,1396943394.0,11838503.338983053,5.372859207692309,2,Animation,1.9964156836694842
72,34,"['Chris Buck', 'Jennifer Lee']","['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff', 'Sterling K. Brown', 'Evan Rachel Wood', 'Alfred Molina', 'Martha Plimpton', 'Jason Ritter', 'Rachel Matthews']","['Jennifer Lee', 'Hans Christian Andersen', 'Chris Buck', 'Kristen Anderson-Lopez']",['Peter Del Vecho'],2019,Animation  Adventure," PG
",103.0,150000000.0,477373578.0,1450026933.0,Frozen II,1300026933.0,12621620.708737865,8.66684622,2,Animation,3.4587139336557047
73,35,['Jon Watts'],"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii']","['Chris McKenna', 'Erik Sommers', 'Stan Lee', 'Steve Ditko']","['Kevin Feige', 'Amy Pascal']",2019,Action  Adventure," PG-13
",129.0,160000000.0,390532085.0,1131927996.0,Spider-Man: Far from Home,971927996.0,7534325.550387598,6.074549975,2,Action,2.3079169668353448
